msrp
10660,22675
4140,85935
11414,23640
5119,37150
2639,3265
6872,43210
3919,57950
9059,25920
3404,35035
8927,2637
1379,43300
10172,20965
4784,23670
11699,26199
6077,24395
4327,47330
10015,23335
11706,25199
527,50200
11544,20160
6776,55230
2844,25910
4482,35360
1641,12115
8507,31275
5345,23745
3112,31065
1098,58700
5338,24845
3579,33350
10316,23190
1303,13449
11040,43395
4265,78750
2932,22955
9420,33400
2652,2668
10346,28060
7032,29560
2833,2000
4139,76685
4301,38800
4477,30975
3205,48150
8866,55400
7992,189900
3067,23745
3720,31460
7543,94600
8628,37890
11629,53800
8391,30665
2655,3342
10383,38355
5090,49800
2585,19850
6349,84325
7494,2452
9754,15495
4292,74995
6661,21465
10044,49700
6476,55375
7507,26450
11848,67220
6869,39010
2951,18500
10164,3480
11718,28249
10418,28700
9874,15095
7466,23995
3933,43765
6344,18795
4331,49150
5527,19949
11183,2000
10858,2354
8320,86450
6007,24170
10685,22900
6850,33260
4474,55305
5748,40915
255,2000
1008,4651
5252,33400
5659,30995
2181,25145
9963,48145
2042,2000
1494,45150
7703,28115
706,22895
7590,2000
11741,47390
7774,43650
2562,18290
9925,22150
4917,26530
3856,22600
6115,26410
4325,51070
11746,25850
8361,26070
5761,23515
9644,33985
1768,37295
9209,33960
3344,24990
9318,38840
6700,2000
8081,2000
3577,33350
8801,2000
5892,19895
5945,24875
1711,2961
8074,2000
9138,48685
186,2397
10990,32650
1536,46660
11443,23070
4567,40065
9604,36515
21,2000
4006,32960
4584,43490
8772,16570
1972,26695
7167,19450
10488,41960
11121,45400
4803,15099
2023,2000
9505,51150
4211,13860
11147,131200
3521,151800
3946,29785
1227,22105
1079,37300
4069,25210
10637,29155
5073,217900
7770,38950
3996,33160
11562,37250
11294,30515
4379,22265
5883,23095
9063,20515
925,163000
9675,43525
3796,38100
6018,28425
5871,21995
8462,31465
2444,21815
8469,28765
2754,14990
6154,27895
1197,29990
7902,42870
10212,24490
9413,4715
8477,14699
3357,27820
5235,241200
3027,75195
1392,128300
9469,28995
8153,27045
2458,29995
7386,26995
10773,24145
1892,21795
4387,28760
4687,14130
10039,49000
6910,39510
4961,24540
7754,38600
357,31290
6235,27230
5014,36410
1882,31625
102,4693
10675,23900
9551,39685
8840,247900
5305,34850
7400,27600
3178,60395
3435,26120
6611,66200
9085,36900
8852,48650
10471,42985
3571,27097
7593,36970
6174,2578
6102,26920
5369,25885
8148,25435
5321,101690
9260,23850
9151,2000
9455,27060
564,19995
5459,19595
10325,2000
7187,2044
1506,45445
958,117530
1436,42890
8098,2000
8906,41900
2874,236100
4184,34120
4837,28095
1683,2179
6726,19275
4585,32210
11212,302695
9617,27975
10777,20300
11189,2000
4030,36145
9380,39160
1169,46920
6866,38850
4964,23610
11263,23225
10270,52345
9345,36230
1120,47600
11644,17050
7042,31340
4228,16699
11375,2000
751,2000
11639,55600
7849,41300
11319,26555
2973,55000
8735,2000
6651,17935
573,21695
412,40300
3725,30560
7576,2000
4067,26960
9531,45120
5096,40400
7630,38255
10055,3420
5265,38750
6567,96100
1202,31905
2305,23310
2010,52100
9753,27150
6666,19565
791,2000
10808,22935
569,15990
9581,49740
7505,26150
232,35675
8302,100100
3818,2000
1036,39750
1773,35495
5289,119450
2740,15120
3433,24010
1162,35070
5424,31445
7874,52900
10190,34090
2304,25865
4876,20990
6273,25499
4487,51585
6639,29860
7455,31790
2205,26790
1879,25490
8504,33780
3531,198295
6877,40850
2098,27170
8017,23020
8256,53775
4133,63060
10174,37615
530,59650
325,48100
5152,50550
7847,40950
7878,58900
1386,117300
10739,43935
4967,22700
3942,30935
1945,21350
8268,41800
11642,16145
3732,28600
2537,2000
5657,25300
2314,2000
1691,2713
3016,69195
1302,15949
2242,29710
1495,47095
3388,21990
